ID,Group,Question
1,Wildfire Event Facts,Which Wisconsin fire occurring in October 1871 is recorded as the deadliest in U.S. history?
2,Wildfire Event Facts,What estimated number of fatalities resulted from the Peshtigo Fire?
3,Wildfire Event Facts,"How many acres were consumed during the Great Fire of 1910 across Idaho, Montana, and Washington?"
4,Wildfire Event Facts,Which 2018 California wildfire is currently ranked as the deadliest in the state's history?
5,Wildfire Event Facts,What specific town was nearly completely destroyed by the Camp Fire in November 2018?
6,Wildfire Event Facts,Which 2024 fire became the largest wildfire in Texas state history?
7,Wildfire Event Facts,What ignition source was attributed to the Smokehouse Creek Fire?
8,Wildfire Event Facts,How many acres did the Smokehouse Creek Fire burn in total?
9,Wildfire Event Facts,Which 1881 Michigan fire was the first official disaster relief effort for the American Red Cross?
10,Wildfire Event Facts,What was the estimated death toll of the Great Hinckley Fire of 1894?
11,Wildfire Event Facts,Which 1918 fire event in Minnesota and Wisconsin caused 453 confirmed deaths?
12,Wildfire Event Facts,What specific meteorological phenomenon was reported to have occurred during the Great Hinckley Fire?
13,Wildfire Event Facts,Which 2013 Arizona wildfire resulted in the fatalities of 19 Granite Mountain Hotshots?
14,Wildfire Event Facts,What is the total acreage burned by the August Complex fire in California in 2020?
15,Wildfire Event Facts,"Which 1825 fire, spreading from New Brunswick to Maine, is considered the largest in U.S. history by acreage?"
16,Wildfire Event Facts,What was the primary fuel source that exacerbated the spread of the 1902 Yacolt Burn?
17,Wildfire Event Facts,How many structures were destroyed in the 1991 Oakland Hills fire?
18,Wildfire Event Facts,Which California fire siege in 2020 resulted in the burning of 4.2 million acres?
19,Wildfire Event Facts,What was the confirmed death toll of the Lahaina Fire in Maui as of October 2023?
20,Wildfire Event Facts,Which hurricane contributed to the wind conditions fueling the Lahaina Fire?
21,Wildfire Event Facts,What percentage of the town of Lahaina was destroyed by the 2023 fire?
22,Wildfire Event Facts,Which 2021 California fire is recorded as the second largest in state history?
23,Wildfire Event Facts,What year did the Taylor Complex Fire occur in Alaska?
24,Wildfire Event Facts,How many acres were consumed by the Taylor Complex Fire?
25,Wildfire Event Facts,Which 2003 fire in San Diego County resulted in 15 deaths and 2232 destroyed homes?
26,Wildfire Event Facts,What was the primary cause of the 1933 Griffith Park Fire in Los Angeles?
27,Wildfire Event Facts,How many workers were killed in the Griffith Park Fire tragedy?
28,Wildfire Event Facts,Which 2017 California fire was ignited by faulty electrical transmission lines?
29,Wildfire Event Facts,What was the estimated insured loss resulting from the 2017 October Fire Siege?
30,Wildfire Event Facts,Which 2022 fire in New Mexico became the largest in the state's history?
31,Wildfire Event Facts,What year did the Tillamook Burn series of fires begin in Oregon?
32,Wildfire Event Facts,Which fire event is known as the "Big Burn"?
33,Wildfire Event Facts,How many individual fires merged to form the August Complex in 2020?
34,Wildfire Event Facts,What was the peak wind speed recorded during the Cloquet-Moose Lake fire?
35,Wildfire Event Facts,Which 1947 fire in Maine resulted in the destruction of nine towns?
